,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
2020-06-06,163.05,233.51,150.29,70.57,178.58,152.43,164.59,234.6,161.83,160.11,443.09,231.58,185.86,172.39,189.21,156.56,175.54,171.81,191.44,245.51,143.08,112.08,167.44,168.11,130.64,217.61,402.74,221.86,183.96,151.08,182.64,164.47,256.25,165.98,202.41,163.66,212.24,176.14,204.05,178.04,174.48,150.49,219.27,190.28,183.46,143.64,226.7,259.78,251.76,187.78,246.44,185.85,165.89,141.79,55.82,153.44,216.37,234.69,94.1,13.06,225.64,175.22,192.94,201.89,218.63,224.49,176.47,212.48,168.58,237.02,184.75,179.72,177.96,191.29,157.73,171.4,216.15,306.02,175.67,114.02,19.16,149.42,146.16,154.66,172.67,164.26,222.54,182.52,187.23,188.28,153.04,241.83,178.15
2020-06-07,120.72,163.5,112.23,59.36,124.32,119.9,122.35,164.78,133.67,129.01,372.53,176.97,148.97,138.09,147.23,135.36,118.43,137.46,148.48,206.31,113.2,85.41,127.94,123.68,105.21,171.63,371.26,160.54,125.06,114.29,152.4,123.6,190.97,128.97,157.88,123.5,154.04,134.78,172.59,143.64,171.84,121.61,191.23,162.13,140.94,111.96,187.27,192.39,222.55,157.77,198.38,137.27,131.02,105.03,48.22,103.16,162.69,206.03,74.95,9.95,182.9,141.66,179.52,155.75,197.77,206.0,124.02,177.17,134.48,181.3,154.05,163.29,145.92,150.33,121.62,104.61,185.0,255.34,143.09,95.48,17.32,134.82,113.53,116.12,145.34,129.24,178.36,150.09,122.11,146.63,113.81,217.67,138.38
2020-06-08,149.71,193.88,132.72,71.34,144.71,154.89,150.46,195.68,138.34,148.6,227.38,174.89,163.95,146.23,175.93,145.76,141.31,139.33,144.97,179.3,133.31,113.04,146.4,159.57,130.36,167.71,235.75,165.91,156.11,133.63,140.92,152.72,243.55,146.77,158.57,148.38,158.09,155.2,161.58,138.47,172.29,150.04,156.02,169.1,157.79,129.92,182.91,184.51,203.46,172.51,217.05,141.14,142.45,122.31,60.02,116.55,170.36,163.07,74.91,10.19,171.81,145.01,175.38,169.45,163.7,214.84,140.38,160.42,156.04,170.85,161.58,147.59,151.44,154.08,141.95,137.02,174.48,203.16,137.45,106.52,22.31,141.44,142.73,154.58,152.11,148.37,178.11,163.48,136.84,164.93,142.97,182.77,149.32
2020-06-09,149.16,190.74,131.96,65.28,139.59,167.3,150.06,192.83,128.82,151.6,203.2,169.61,153.5,145.33,157.66,175.9,147.3,153.06,158.08,159.7,129.94,90.72,151.61,160.4,130.61,139.13,213.93,154.27,156.19,125.26,138.51,153.72,237.61,144.1,153.54,145.66,170.26,149.92,159.13,134.2,157.09,152.56,167.24,166.53,156.9,133.38,175.33,199.11,171.21,158.47,195.66,138.09,144.71,121.35,55.02,110.79,163.78,161.37,74.04,10.21,159.35,142.92,140.16,168.42,132.15,172.37,134.18,147.49,161.31,167.3,148.55,138.24,132.9,132.44,138.48,137.02,135.76,192.17,126.41,107.06,20.5,154.88,136.27,146.35,146.22,146.96,156.39,152.1,134.11,158.39,143.32,174.54,151.67
2020-06-10,152.38,198.75,136.54,70.82,146.84,152.1,152.84,199.76,140.21,146.88,209.97,176.08,166.51,158.13,168.5,146.55,163.67,139.02,150.08,147.16,135.39,95.17,154.97,163.3,131.08,150.75,185.35,153.62,154.01,137.51,139.21,155.31,239.35,148.31,163.27,151.83,153.96,151.81,165.68,141.44,159.46,150.04,164.96,178.49,163.84,140.29,177.95,218.17,184.17,166.44,214.73,157.82,149.27,126.7,58.18,118.01,160.29,166.98,77.21,11.0,168.15,140.75,163.46,170.55,138.31,173.8,167.07,151.1,166.67,162.07,154.15,157.56,136.55,161.72,144.35,136.45,144.27,177.6,149.35,109.72,21.65,153.78,149.67,149.79,161.69,159.37,157.25,166.1,154.67,167.27,142.05,177.58,172.2
2020-06-11,167.91,214.37,146.88,71.22,165.56,178.98,168.75,217.66,148.81,165.02,239.13,196.58,179.65,171.99,166.36,179.04,173.91,163.99,155.46,174.6,141.04,107.63,155.58,182.66,143.14,166.57,219.89,174.19,165.56,150.77,168.8,170.06,282.22,161.28,181.42,164.97,193.69,168.23,187.36,165.78,192.9,158.3,176.68,184.88,176.82,145.8,202.64,203.73,203.67,186.93,251.14,173.08,161.49,134.63,58.58,128.96,191.41,190.41,85.86,13.09,189.23,165.89,174.76,178.68,138.6,213.68,162.34,170.04,187.92,196.12,188.22,175.69,161.19,166.67,157.37,149.06,176.42,215.15,149.17,115.84,22.12,163.45,153.06,144.5,167.22,164.31,190.78,173.4,155.37,180.89,163.43,178.07,171.11
2020-06-12,185.99,235.34,163.94,74.62,187.99,204.47,187.45,235.79,178.39,188.34,327.56,222.36,198.2,194.73,210.08,175.53,184.16,196.42,190.71,215.37,159.82,151.69,188.96,198.39,159.16,210.62,282.85,207.44,193.8,170.95,172.7,187.55,308.51,199.07,221.12,184.71,206.27,192.02,208.24,187.41,216.32,172.02,200.56,209.05,197.6,164.37,241.33,255.63,243.15,211.59,270.43,196.28,180.37,149.87,60.24,152.61,220.4,267.67,97.51,15.22,222.62,196.97,212.09,203.33,204.9,230.24,182.23,206.55,206.12,229.2,214.86,196.2,176.41,198.51,172.64,178.79,227.4,275.31,184.71,131.95,24.52,201.89,171.77,191.52,200.26,181.47,213.69,192.22,191.3,203.58,182.46,242.85,200.26
2020-06-13,168.99,229.85,150.57,71.43,176.72,176.97,170.44,232.56,179.33,169.13,479.68,253.42,203.99,191.28,189.72,186.85,176.69,186.93,186.58,209.78,151.47,119.52,179.16,183.03,153.59,214.47,359.74,205.63,165.53,153.58,187.39,165.52,278.98,179.86,222.08,172.14,193.06,183.49,209.95,232.98,211.41,161.43,235.48,259.3,189.1,152.64,250.56,246.23,258.1,198.9,259.48,201.12,172.69,139.87,57.48,146.15,205.87,329.93,97.17,15.72,236.38,197.16,228.33,208.48,254.86,230.57,175.49,215.73,192.66,231.3,208.49,218.36,187.04,203.34,166.88,161.62,226.17,318.04,210.08,121.31,23.33,193.07,158.6,168.43,184.45,172.43,210.78,202.18,209.96,192.62,170.64,248.89,188.17
2020-06-14,130.27,181.34,118.04,61.08,137.67,157.97,131.61,181.11,159.07,139.64,420.23,200.37,168.11,152.47,177.25,140.67,133.32,141.19,143.98,172.35,125.36,80.97,141.42,133.28,116.9,200.64,320.21,176.52,149.48,144.49,154.01,135.13,214.92,139.5,186.85,132.9,164.5,151.65,163.14,183.94,185.22,128.52,162.85,196.93,153.69,128.81,199.79,185.17,231.42,167.53,202.98,165.45,135.56,108.2,50.01,114.24,187.5,302.78,80.11,10.42,187.37,155.5,179.96,174.87,188.72,215.42,134.29,181.94,140.37,181.2,152.32,182.15,148.8,201.49,131.98,116.23,215.28,254.89,173.76,99.35,18.7,154.62,116.67,124.43,164.24,136.49,194.71,158.94,144.84,139.13,150.38,235.51,160.83
2020-06-15,159.42,205.21,139.27,71.31,154.77,161.77,159.76,207.21,142.68,158.92,233.49,187.74,175.83,156.44,162.65,152.68,150.93,164.1,155.65,174.89,137.91,113.53,150.34,165.33,135.72,172.56,213.37,160.16,157.54,141.73,158.44,162.54,262.55,159.22,175.7,157.7,161.89,170.05,172.53,152.59,161.87,177.58,146.75,180.15,160.98,141.07,183.29,191.3,194.75,173.61,214.44,158.56,156.02,127.08,59.75,123.88,181.38,187.24,81.27,11.03,190.1,157.3,168.58,157.91,159.61,200.23,158.59,175.7,176.53,179.53,170.95,168.67,152.08,159.09,150.85,154.0,183.99,211.47,168.2,110.06,21.0,153.94,151.71,165.24,165.99,155.57,176.8,170.72,133.47,160.2,162.51,195.99,163.07
2020-06-16,162.63,231.53,142.18,69.68,161.06,177.53,162.9,236.45,145.45,158.95,231.14,179.35,172.72,161.62,163.56,153.45,144.95,173.21,177.17,179.38,138.48,110.24,165.13,174.43,139.4,156.95,209.9,160.67,167.42,142.41,149.41,165.74,267.22,165.32,175.38,158.06,187.85,164.58,171.68,157.28,162.07,170.49,171.9,183.39,171.39,149.32,191.88,244.99,206.78,187.1,230.75,167.13,157.51,130.31,57.48,128.59,182.89,168.41,83.33,11.85,184.61,162.89,172.82,179.03,162.29,208.66,165.65,176.75,184.02,185.4,164.67,155.07,158.31,163.39,155.99,143.93,191.49,210.93,158.3,109.59,20.57,151.16,149.84,162.8,161.86,157.41,173.36,178.74,152.28,194.79,164.55,180.1,164.03
2020-06-17,167.13,211.76,146.76,75.55,163.54,174.68,167.85,214.1,144.91,160.57,261.34,191.9,188.71,159.66,185.45,161.96,157.25,165.99,174.12,177.14,145.27,121.26,164.21,174.11,140.13,165.79,241.87,168.18,174.51,152.73,155.24,172.95,279.3,179.52,183.51,161.86,173.05,166.24,176.55,148.21,167.11,167.09,176.79,192.52,177.27,142.76,199.02,221.55,217.09,186.07,241.77,154.95,162.62,133.54,63.47,129.87,173.95,180.7,84.77,11.55,193.47,161.57,162.31,176.48,151.15,223.66,159.35,173.98,162.69,214.22,173.07,170.31,168.61,185.15,153.17,142.05,174.91,216.92,156.73,117.86,23.02,145.27,154.04,161.88,149.82,157.24,167.38,170.92,161.33,186.1,167.37,186.34,172.13
2020-06-18,172.55,214.42,153.17,75.46,167.29,203.91,173.6,217.18,155.85,174.42,255.03,192.79,180.53,170.58,175.01,163.91,156.34,176.61,174.62,190.69,153.01,114.59,164.93,180.83,149.4,172.27,215.54,168.95,169.16,156.72,165.28,181.71,284.48,176.67,198.71,168.35,190.6,172.2,193.53,165.35,178.99,152.29,186.4,182.14,185.82,156.13,210.87,236.34,230.86,201.97,236.59,172.45,171.7,139.23,62.22,133.59,204.33,206.38,86.73,13.08,196.66,188.81,173.7,198.56,163.4,248.84,171.3,182.19,168.65,202.42,174.71,171.9,171.16,190.4,167.11,142.99,186.45,239.51,162.55,119.07,21.81,168.75,156.9,174.56,186.12,169.87,186.84,183.53,157.96,220.9,179.64,208.23,177.42
2020-06-19,195.3,244.84,176.81,77.51,202.51,221.63,196.72,246.99,237.29,204.84,360.87,217.24,211.2,194.37,207.33,200.76,189.76,207.51,212.3,223.92,167.0,127.15,200.42,201.59,158.67,212.12,294.12,225.29,207.7,185.63,198.4,203.28,310.41,199.64,245.49,192.33,230.61,206.02,225.43,213.22,243.26,165.92,217.38,199.58,216.31,170.53,265.95,283.89,285.06,239.57,300.88,208.3,191.16,162.88,60.82,168.77,254.77,257.19,99.49,15.0,259.47,209.61,221.45,221.39,199.63,284.45,192.55,229.26,200.61,230.77,197.88,210.31,204.17,250.63,197.74,186.83,245.78,305.21,186.71,135.23,25.43,216.7,186.8,195.47,217.57,199.78,226.8,210.16,199.79,229.57,190.95,260.64,220.79
2020-06-20,172.63,239.49,160.91,79.12,189.15,237.67,174.44,239.63,247.31,178.35,487.39,241.9,218.46,205.57,218.93,186.0,201.24,209.22,219.57,243.31,165.22,123.77,201.79,187.37,163.32,235.99,417.95,236.42,190.98,188.39,184.35,187.07,282.66,181.76,259.73,174.61,209.54,220.61,231.1,243.34,226.04,187.71,217.71,226.33,206.93,168.25,284.14,291.27,291.09,218.1,286.26,203.8,186.25,148.38,64.95,164.8,273.98,243.74,98.42,14.43,244.57,193.74,222.24,227.91,206.76,258.11,185.49,228.65,189.37,250.97,204.54,224.53,204.32,306.26,182.19,157.62,277.72,338.48,201.56,127.37,22.47,215.28,176.77,165.83,213.36,177.05,220.2,209.03,185.05,200.3,178.57,271.38,228.56
2020-06-21,120.0,151.54,109.88,61.08,117.89,132.92,121.57,151.68,168.63,128.35,307.34,161.89,153.5,142.63,155.06,143.62,129.58,128.98,143.77,153.13,108.04,70.05,119.8,122.69,104.07,163.86,242.27,172.9,126.56,134.42,143.91,123.78,183.65,123.97,159.69,119.91,151.87,154.96,169.61,168.25,180.21,117.85,132.32,155.23,140.51,114.21,198.88,176.13,217.37,163.95,187.4,149.33,128.05,102.4,51.59,97.47,175.74,185.15,65.91,8.44,182.11,137.02,183.5,151.29,150.71,187.01,132.55,157.2,122.48,160.18,135.14,165.61,150.2,166.79,122.64,105.69,204.54,247.58,138.31,89.44,17.93,166.7,111.54,116.29,152.28,129.68,153.69,133.86,134.11,150.51,109.46,219.25,154.84
2020-06-22,156.98,199.66,138.18,71.48,153.85,172.11,157.94,199.91,149.51,167.93,222.77,174.29,164.25,157.4,176.28,158.48,149.98,163.69,161.18,183.62,140.72,111.21,142.04,163.58,133.12,164.93,210.95,173.74,162.89,139.39,165.38,158.14,257.36,159.7,175.46,154.33,169.63,158.22,170.94,150.56,169.08,150.85,156.41,166.11,162.81,137.48,192.15,195.54,199.4,169.96,206.47,164.97,149.23,127.34,59.86,123.9,172.05,177.92,78.78,12.24,173.52,154.45,177.76,180.5,151.67,185.58,157.17,153.98,156.96,186.91,166.41,159.49,154.68,167.92,146.95,139.13,176.28,214.88,208.69,110.89,23.11,156.67,143.72,163.06,163.71,159.15,160.33,159.59,156.56,177.62,155.4,191.65,179.64
2020-06-23,163.93,219.43,146.64,72.9,168.11,176.52,164.77,220.88,148.04,167.3,242.05,188.71,164.75,159.19,192.93,156.31,160.08,151.86,171.31,168.76,143.01,106.96,152.36,169.92,135.62,161.72,224.56,176.97,157.43,145.91,176.6,168.26,284.76,155.98,177.15,165.23,181.03,163.77,172.59,153.46,161.97,170.31,166.8,196.51,185.63,146.38,187.58,227.76,200.29,183.35,251.14,169.29,160.02,133.98,58.76,133.16,182.87,172.08,80.65,11.99,190.94,162.65,173.26,180.57,144.02,204.68,158.21,160.53,152.68,180.17,152.03,170.76,152.22,166.67,153.89,149.58,169.65,212.95,191.57,113.45,22.77,164.65,154.02,176.07,167.66,168.03,161.11,176.9,156.21,193.19,154.12,180.66,179.47
2020-06-24,169.19,215.96,151.46,69.26,176.17,178.76,170.26,217.51,153.93,173.63,268.3,188.63,182.08,172.67,186.31,164.15,158.88,166.78,176.42,182.26,144.94,114.98,190.43,177.52,145.49,170.42,249.84,184.35,171.73,147.33,188.09,174.33,287.69,171.4,194.09,160.45,186.41,174.81,185.29,161.13,181.63,159.19,196.95,186.79,180.64,146.58,199.02,239.56,211.4,189.37,262.97,171.37,166.52,140.3,56.54,142.56,187.08,190.33,87.42,14.27,195.62,159.69,160.55,196.4,161.1,207.22,169.24,168.27,182.65,194.23,179.73,165.95,159.61,189.92,161.35,163.22,180.03,216.2,205.21,118.81,24.18,166.91,157.02,175.57,176.01,178.39,165.98,181.18,157.75,183.09,164.6,196.64,185.52
2020-06-25,178.64,230.14,157.94,72.27,181.7,204.97,179.26,230.09,162.25,182.3,264.44,202.97,182.46,180.02,251.6,171.66,176.83,184.37,189.95,187.51,154.66,119.61,180.36,192.55,150.61,185.53,247.67,219.53,188.34,162.08,177.46,183.94,305.66,175.91,201.01,173.39,216.2,180.46,194.39,182.19,198.6,164.22,232.7,186.13,191.96,137.68,218.41,232.49,233.88,207.6,269.51,179.41,172.42,144.82,57.1,146.31,223.4,212.18,88.7,13.07,214.4,171.93,177.76,199.0,167.11,234.65,168.48,188.18,215.67,209.59,175.77,190.76,172.8,187.9,173.38,171.59,208.29,249.29,207.12,120.12,22.65,177.42,167.62,180.52,193.76,191.02,205.53,186.76,170.32,213.28,172.43,223.19,192.83
2020-06-26,193.98,252.41,180.38,81.52,210.28,231.25,195.84,253.2,220.23,204.49,337.54,238.19,210.24,209.48,215.62,233.68,210.63,202.07,232.3,250.0,178.25,127.63,225.04,207.86,173.38,229.01,316.75,240.75,210.27,192.67,213.68,206.53,333.14,190.9,228.32,190.7,263.24,206.58,231.04,217.44,231.95,217.13,234.37,235.96,218.71,155.67,262.52,267.78,264.92,214.5,269.84,213.63,200.22,168.37,65.8,177.7,259.67,272.7,105.71,16.02,257.9,197.43,226.3,228.94,194.8,245.86,209.18,228.35,215.14,244.94,222.59,230.14,215.95,252.53,189.87,180.15,229.34,309.18,226.15,143.86,27.87,227.05,182.88,195.05,203.69,203.47,223.61,213.72,180.56,246.08,182.81,299.64,219.64
2020-06-27,198.09,274.25,158.65,71.48,183.74,220.85,199.3,276.13,228.82,171.71,376.01,237.89,185.77,217.97,199.34,191.18,184.3,193.28,221.33,223.37,150.02,98.36,189.65,197.07,161.88,237.06,303.22,234.99,189.95,181.54,215.44,188.31,269.4,164.98,232.9,164.26,203.37,181.54,229.77,219.46,233.72,212.11,226.04,249.25,194.64,145.37,264.16,282.1,290.23,222.36,296.44,192.11,168.45,146.81,56.44,159.26,273.83,230.39,94.02,15.28,218.73,188.33,270.79,232.68,197.7,245.86,191.41,192.37,182.19,298.44,188.32,226.35,199.95,237.87,188.79,164.63,250.61,330.86,216.59,124.36,24.41,195.01,167.85,175.06,212.57,199.44,192.79,202.38,186.6,207.46,171.0,299.88,216.96
2020-06-28,140.84,198.36,123.78,65.95,145.52,151.93,142.77,200.62,166.71,151.32,300.38,191.16,160.97,164.66,171.25,155.74,141.84,149.72,176.24,189.71,126.34,77.78,140.74,140.77,115.68,197.08,248.23,206.34,147.52,142.81,165.71,149.14,242.16,135.27,183.63,130.4,174.09,155.18,191.64,174.17,228.61,167.98,155.47,152.82,155.29,126.56,211.44,200.31,271.1,193.64,208.38,142.26,144.16,113.17,53.39,117.44,233.57,210.36,75.1,10.04,180.49,140.16,220.12,185.99,160.95,234.52,150.82,160.55,133.79,215.95,134.17,196.66,164.91,169.77,137.88,119.61,212.69,291.51,167.68,106.92,20.21,169.59,120.7,126.87,185.06,157.93,187.7,140.23,159.72,172.45,145.98,272.31,171.07
2020-06-29,160.42,205.16,142.72,73.18,152.41,176.97,161.25,207.02,156.38,160.69,220.7,181.87,166.93,163.65,164.89,165.68,152.75,157.51,154.32,172.69,148.5,131.88,163.17,167.98,136.14,164.08,215.62,180.92,156.68,144.44,157.1,159.31,244.34,151.98,177.03,159.99,177.63,163.46,178.68,169.95,175.01,166.1,170.63,179.65,169.37,140.61,200.86,210.68,216.27,178.94,215.98,167.65,167.14,133.0,60.42,125.03,191.8,182.87,81.41,11.44,184.64,146.71,182.35,183.63,149.81,198.54,161.63,161.14,171.79,170.47,163.03,169.18,155.01,174.6,156.13,154.56,184.35,233.24,132.06,113.14,22.99,163.81,153.82,153.48,176.45,160.2,165.94,169.73,141.82,185.94,163.22,203.65,176.93
2020-06-30,165.26,231.63,149.96,75.32,165.86,172.28,165.62,231.51,154.47,162.36,233.96,186.03,156.11,173.96,160.25,163.36,155.29,155.69,165.06,185.22,145.57,110.53,157.44,176.05,136.09,174.2,200.56,183.96,161.14,148.99,158.87,167.21,269.95,162.0,172.2,158.39,177.1,166.05,188.39,168.55,173.86,150.22,171.9,179.49,180.41,137.22,205.47,263.16,217.08,192.74,250.51,174.53,160.19,140.98,59.7,135.36,193.59,184.57,87.13,11.45,182.75,156.34,170.17,188.74,142.39,198.27,158.7,161.19,175.69,187.39,173.75,182.21,156.76,172.03,160.55,150.28,174.26,234.75,141.09,118.42,23.27,158.98,144.72,161.13,174.17,164.49,166.19,153.16,155.58,190.89,160.92,216.25,179.07
2020-07-01,170.66,209.64,157.57,78.37,176.5,209.67,171.71,210.87,158.03,179.86,239.98,209.66,179.61,180.28,180.71,174.22,158.02,171.91,184.86,198.48,160.46,134.4,161.02,179.97,154.05,187.6,263.85,200.0,163.39,160.61,170.41,187.07,300.08,167.94,201.13,164.92,203.64,181.08,193.89,191.26,195.22,169.6,216.16,198.01,183.85,148.24,213.28,255.32,235.78,205.17,270.43,175.61,174.64,145.3,60.66,141.6,208.86,200.97,88.36,11.83,201.48,157.21,191.53,178.06,160.5,227.8,174.29,186.27,175.38,206.84,201.35,208.78,175.23,177.52,166.17,165.48,195.96,274.25,167.94,125.46,22.77,170.9,161.63,184.97,173.46,169.02,175.49,183.23,159.3,202.07,164.81,222.7,176.43
2020-07-02,179.01,220.83,165.93,76.44,183.89,205.03,180.68,221.69,177.32,185.89,308.84,212.26,205.16,201.15,210.69,203.26,159.17,199.54,199.75,213.21,160.85,144.93,188.18,188.17,163.48,218.96,280.35,240.88,181.53,173.46,218.11,196.51,309.66,179.8,222.65,172.3,214.68,189.09,219.49,199.8,243.51,156.68,222.82,194.1,201.29,153.68,248.3,272.79,291.56,232.45,265.87,196.39,179.68,153.17,63.77,148.24,237.76,240.02,95.47,13.52,221.34,179.66,240.69,211.67,179.51,255.44,188.75,201.25,170.87,217.3,189.0,222.55,182.1,213.0,179.34,169.24,233.17,324.93,176.72,134.5,25.19,185.08,164.1,185.31,209.67,181.3,210.94,189.97,171.79,210.39,179.39,284.96,194.45
2020-07-03,168.19,225.6,158.37,76.56,189.52,197.88,170.05,227.24,195.95,176.48,402.16,235.88,207.43,211.58,203.26,191.37,194.4,180.26,219.34,216.55,156.47,111.3,210.06,179.46,150.19,244.9,391.87,277.88,186.84,178.66,200.11,181.57,280.05,160.83,245.13,165.26,201.71,204.53,236.65,216.61,264.49,160.72,244.75,209.55,188.56,158.41,285.66,325.7,357.0,256.93,313.45,204.24,169.63,148.47,61.52,162.15,291.38,265.12,98.57,13.85,246.95,186.65,242.54,218.71,200.74,298.86,174.46,215.34,207.03,238.31,198.94,229.75,191.18,253.19,176.56,166.13,286.45,396.36,211.29,127.71,24.29,191.12,166.86,180.52,212.74,172.72,225.41,190.56,187.09,206.12,170.95,348.6,202.31
2020-07-04,128.86,179.17,126.94,66.81,153.14,152.66,129.67,182.63,167.01,132.92,392.0,237.89,188.12,169.37,185.65,248.96,149.78,152.17,208.97,191.66,130.8,106.96,178.38,140.26,121.56,196.51,410.14,213.84,139.86,133.96,174.09,141.17,244.5,131.77,197.3,132.27,157.12,151.5,166.6,169.32,187.81,144.04,221.88,181.15,148.5,127.77,265.55,244.8,288.23,199.05,268.74,175.76,139.79,122.27,54.43,131.29,218.17,208.39,82.64,11.46,194.92,150.64,205.21,209.58,196.73,231.73,163.75,217.73,140.83,200.43,191.31,179.38,161.63,310.91,141.07,139.04,235.54,377.21,215.81,97.4,16.45,151.73,125.3,132.66,152.37,138.04,205.16,167.33,165.54,146.12,146.04,327.52,176.17
2020-07-05,122.45,143.54,117.17,60.2,131.95,149.8,125.0,143.66,194.14,145.87,376.95,199.85,160.89,159.17,167.33,171.05,145.28,146.6,168.57,201.95,132.95,93.91,155.91,130.56,104.78,199.71,310.55,247.28,147.06,148.02,170.46,132.75,196.08,131.48,197.02,120.74,173.17,148.18,198.14,214.24,289.81,113.0,175.18,163.46,150.08,120.57,260.42,246.93,388.73,206.86,212.93,161.21,139.25,110.13,48.57,113.99,220.87,258.04,77.01,9.56,196.25,144.58,279.61,176.66,166.37,273.17,149.29,187.05,135.24,201.72,151.45,222.61,160.17,285.99,130.84,109.5,287.96,382.54,145.44,100.13,17.51,178.15,117.9,120.91,199.3,142.26,165.53,157.19,137.05,152.02,124.45,378.88,158.41
2020-07-06,160.96,208.2,148.61,80.4,180.47,162.94,161.67,207.69,159.27,173.42,258.8,210.55,186.82,169.43,177.4,185.05,160.27,158.84,174.2,180.99,144.35,110.43,165.71,171.35,133.39,173.7,225.76,189.46,170.66,152.34,170.46,169.18,260.69,189.1,190.06,157.74,195.69,168.0,177.08,180.86,247.15,156.05,156.25,167.36,169.47,139.63,212.07,223.45,277.32,199.12,242.17,166.79,159.37,138.61,66.28,157.12,208.54,183.49,83.91,11.4,214.75,153.24,199.65,173.64,158.87,237.75,164.89,186.93,163.91,181.9,164.86,194.67,165.11,191.83,158.29,142.33,212.18,255.31,161.08,118.23,23.89,187.39,153.03,154.07,176.45,169.21,178.16,173.03,151.3,193.88,160.82,243.53,172.43
2020-07-07,166.51,219.05,153.24,78.0,174.68,183.57,166.85,220.08,150.89,169.52,229.73,197.77,176.16,164.95,173.79,157.29,170.94,162.26,174.05,184.46,146.62,97.1,176.69,176.04,140.96,179.33,214.65,200.84,177.18,148.94,156.46,175.85,278.11,197.44,193.64,162.51,200.22,171.44,177.55,158.26,195.96,149.6,158.97,177.57,176.39,148.92,213.91,238.35,237.07,185.94,235.16,173.9,164.22,142.41,63.47,148.47,196.48,183.45,85.78,11.4,216.03,156.29,184.82,176.69,160.95,213.12,159.95,206.96,167.35,169.23,188.13,178.19,159.83,204.41,157.99,146.47,191.35,234.99,149.87,116.91,21.5,167.49,154.83,160.45,176.36,167.97,158.11,173.1,165.4,211.19,165.01,209.85,175.67
2020-07-08,169.03,210.8,157.22,76.37,179.38,173.23,170.0,212.67,154.45,174.5,218.53,211.29,175.79,168.81,175.27,174.13,155.34,162.0,193.25,176.38,146.88,115.36,165.22,178.72,139.29,173.63,229.63,192.11,171.73,146.91,153.21,183.11,285.11,194.12,184.39,163.04,209.18,179.38,174.69,171.8,187.81,152.2,168.91,171.84,183.98,145.27,221.7,240.8,232.45,191.06,240.6,169.4,171.21,146.0,62.54,147.62,189.11,190.22,87.28,12.3,208.54,159.57,186.67,185.2,167.33,222.06,167.34,187.02,179.89,173.6,180.21,185.5,184.8,227.85,160.83,151.51,187.74,226.83,172.63,120.49,25.15,172.43,156.67,162.8,158.79,173.09,183.03,178.37,161.89,220.35,159.28,223.27,184.96
2020-07-09,178.49,224.64,165.39,82.17,188.87,202.74,179.77,226.53,191.7,189.78,256.35,199.78,198.45,176.52,199.95,179.65,181.62,171.32,186.73,197.42,154.89,119.9,194.33,188.39,155.44,178.76,230.84,197.22,177.5,171.57,170.57,195.99,302.34,196.22,205.71,178.05,252.16,200.49,188.95,205.4,199.03,167.62,179.68,179.07,191.43,150.52,261.29,237.23,242.07,201.61,251.1,175.69,181.14,152.02,68.02,156.59,214.41,215.66,89.56,13.03,217.51,165.95,189.5,190.87,167.56,215.16,172.45,200.33,186.54,194.18,179.83,197.79,179.09,224.63,171.82,164.72,204.47,249.62,160.73,127.66,28.34,198.84,163.31,191.94,194.99,174.57,182.25,183.15,167.16,252.75,177.6,247.06,193.45
2020-07-10,207.34,287.22,186.21,83.17,231.44,215.37,208.77,287.33,208.24,213.67,338.48,233.95,211.46,201.02,224.33,213.51,206.08,207.48,235.52,250.8,183.68,136.43,230.22,202.53,169.14,234.85,298.15,237.32,199.07,212.84,227.67,213.66,337.97,233.64,228.08,198.71,247.92,222.52,236.8,225.63,252.26,184.48,201.83,223.84,222.4,172.2,289.27,274.42,296.84,227.07,281.81,203.91,201.81,172.64,66.93,202.69,265.36,254.22,102.67,14.97,245.03,192.8,247.57,219.84,190.42,253.23,201.3,226.1,231.12,248.98,221.14,235.01,212.85,280.86,198.15,205.08,233.89,299.88,191.23,147.94,35.56,207.41,186.18,192.95,226.63,195.88,213.81,215.56,192.77,257.52,200.56,294.97,225.12
2020-07-11,201.85,272.32,175.93,79.42,221.64,256.79,202.68,274.66,219.13,189.84,449.29,268.5,229.29,204.34,221.88,202.47,205.55,207.12,219.73,243.31,169.84,119.32,282.64,192.39,154.17,236.85,395.25,251.81,180.32,201.8,215.12,206.69,322.45,193.7,241.91,194.42,240.47,206.68,237.51,230.38,240.99,182.24,227.32,223.26,214.51,159.03,260.2,287.54,335.82,219.76,258.08,217.98,192.11,162.46,62.08,193.47,255.81,251.82,104.87,14.04,278.37,208.92,230.36,231.27,204.23,275.15,202.34,265.02,206.42,260.72,215.35,227.48,214.93,353.67,210.38,213.26,258.98,362.33,186.19,140.5,31.81,215.7,172.35,179.6,209.93,208.69,239.47,206.68,206.88,229.77,187.42,344.75,240.56
