date,sub_region_2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-17,Pulaski County,105,,,,93,
2020-02-17,Putnam County,102,90,,,87,104
2020-02-17,Randolph County,100,110,,,92,104
2020-02-17,Ripley County,118,94,,,90,
2020-02-17,Rush County,102,110,,,96,
2020-02-17,Scott County,107,101,,,95,102
2020-02-17,Shelby County,105,98,,102,87,103
2020-02-17,Spencer County,100,108,,,92,
2020-02-17,St. Joseph County,107,96,87,101,86,104
2020-02-17,Starke County,108,94,,,94,
2020-02-17,Steuben County,103,93,,106,97,102
2020-02-17,Sullivan County,94,87,,,87,
2020-02-17,Switzerland County,,,,,85,
2020-02-17,Tippecanoe County,99,100,71,100,94,102
2020-02-17,Tipton County,95,104,,,98,
2020-02-17,Union County,,,,,102,
2020-02-17,Vanderburgh County,112,101,,80,85,103
2020-02-17,Vermillion County,102,,,94,86,
2020-02-17,Vigo County,105,98,59,103,85,105
2020-02-17,Wabash County,103,99,,,98,103
2020-02-17,Warren County,,,,,93,
2020-02-17,Warrick County,102,98,,,80,105
2020-02-17,Washington County,102,92,,,95,104
2020-02-17,Wayne County,100,90,,103,88,105
2020-02-17,Wells County,102,98,,,95,102
2020-02-17,White County,93,117,,,86,104
2020-02-17,Whitley County,102,98,,,96,101
2020-02-18,,101,99,103,104,102,100
2020-02-18,Adams County,107,93,,,101,100
2020-02-18,Allen County,100,96,98,100,101,100
2020-02-18,Bartholomew County,100,101,96,112,100,100
2020-02-18,Benton County,,,,,100,
2020-02-18,Blackford County,110,101,,,102,
2020-02-18,Boone County,103,100,,99,94,102
2020-02-18,Brown County,95,102,,,99,
2020-02-18,Carroll County,120,111,,,103,
2020-02-18,Cass County,106,101,,,101,100
2020-02-18,Clark County,97,99,102,101,101,101
2020-02-18,Clay County,102,83,,114,100,100
2020-02-18,Clinton County,98,103,,,99,101
2020-02-18,Crawford County,,,,99,106,
2020-02-18,Daviess County,96,93,,,101,102
2020-02-18,Dearborn County,101,94,,,102,100
2020-02-18,Decatur County,97,101,,93,100,101
2020-02-18,DeKalb County,95,112,,,103,100
2020-02-18,Delaware County,100,100,,108,103,100
2020-02-18,Dubois County,97,90,,,101,101
2020-02-18,Elkhart County,105,95,106,114,102,100
2020-02-18,Fayette County,99,99,,,101,100
2020-02-18,Floyd County,99,100,,,101,100
2020-02-18,Fountain County,109,100,,,103,
2020-02-18,Franklin County,101,97,,,100,
2020-02-18,Fulton County,105,123,,,101,
2020-02-18,Gibson County,98,97,,96,106,100
2020-02-18,Grant County,105,101,,106,103,100
2020-02-18,Greene County,110,102,,,102,100
2020-02-18,Hamilton County,101,101,94,,101,100
2020-02-18,Hancock County,106,110,,98,102,100
2020-02-18,Harrison County,97,102,,,101,102
2020-02-18,Hendricks County,103,101,,100,102,100
2020-02-18,Henry County,103,100,,101,101,100
2020-02-18,Howard County,97,101,,,101,100
2020-02-18,Huntington County,104,104,,,102,100
2020-02-18,Jackson County,102,100,,113,98,101
2020-02-18,Jasper County,102,96,,109,103,99
2020-02-18,Jay County,103,86,,,103,
2020-02-18,Jefferson County,97,95,,,101,100
2020-02-18,Jennings County,105,105,,,101,101
2020-02-18,Johnson County,101,105,,97,101,100
2020-02-18,Knox County,104,106,,,102,101
2020-02-18,Kosciusko County,100,99,,,102,100
2020-02-18,LaGrange County,107,103,,103,101,99
2020-02-18,Lake County,101,100,106,115,101,100
