,date,case_count_daily,avg_cases_by_week,grociery_pharmacy_mobility,parks_mobility,retail_recreation_mobility,transit_stations_mobility,workplace_mobility,driving_mobility_vehicle,transit_mobility_vehicle,walking_mobility_instance,std_last_week_grociery_pharmacy_mobility,std_last_week_park_mobility,std_last_week_retail_recreation_mobility,std_last_week_transit_station_mobility,std_last_week_workplace_mobility
15,3.1.20,119.0,951.0,107,194,116,105,103,94.41,83.01,109.41,3.7416573867739396,42.390826163890004,1.7728105208558402,3.18198051533946,1.5526475085203
16,3.2.20,132.0,951.0,101,103,106,100,101,108.14,103.29,99.99,3.73927036427467,34.638696362800495,1.8322507626258102,3.33541601603158,1.58113883008419
17,3.3.20,145.0,951.0,111,125,116,110,102,119.16,101.15,115.83,4.10356987442467,34.25534369158439,1.66904592079256,3.3700360320244105,1.5526475085203
18,3.4.20,155.0,951.0,108,138,114,108,101,117.9,95.18,123.63,4.26781978465419,33.6016581223521,1.64208056179609,3.46410161513775,1.58113883008419
19,3.5.20,179.0,951.0,106,131,112,103,102,124.27,107.81,118.97,4.08612635284674,31.8139120511766,1.45773797371133,3.46410161513775,1.4142135623731003
20,3.6.20,113.0,951.0,99,102,103,101,101,134.42,91.6,122.91,4.26781978465419,30.7777168929545,1.45773797371133,3.46410161513775,1.4142135623731003
21,3.7.20,146.0,1180.0,108,178,115,112,105,131.35,92.48,165.24,3.91881906409863,33.1393163133201,1.5118578920369101,4.26781978465419,1.69030850945703
22,3.8.20,183.0,1180.0,105,261,111,104,102,91.63,71.88,102.5,3.9256482631171,54.1901414333957,1.4078859531733603,4.27409138213693,1.35620268186054
23,3.9.20,199.0,1180.0,104,129,105,97,100,102.17,92.11,96.54,3.91881906409863,52.171249608517996,1.30930734141595,5.2081666639999105,1.4880476182856899
24,3.10.20,195.0,1180.0,104,106,107,97,100,108.21,95.13,104.57,3.58319490319543,51.8287013701316,1.1259916264596,5.65685424949238,1.59798980865694
25,3.11.20,146.0,1180.0,107,109,106,101,99,107.69,91.87,108.35,2.94897076476329,53.059939152407104,1.1259916264596,5.16685867538765,1.8322507626258102
26,3.12.20,109.0,1180.0,121,113,106,95,98,105.68,83.94,94.55,6.36396103067893,54.204473985087205,1.16496474502144,5.36523198806112,2.16712449375401
27,3.13.20,203.0,1180.0,123,124,99,94,88,111.25,84.85,104.58,8.54295867115971,54.4472221513642,2.0310096011589898,5.86606463361207,4.969550137731639
28,3.14.20,137.0,905.0,105,90,82,87,97,88.17,61.63,91.48,7.78161753291508,55.800025601632605,2.50356888118884,7.44383733605956,4.9551560448255705
29,3.15.20,151.0,905.0,102,133,87,84,92,68.91,59.94,65.09,8.23646075169946,53.498831762946,2.23207142742853,6.66413642460254,4.69041575982343
30,3.16.20,129.0,905.0,117,101,90,81,82,79.29,68.08,65.89,8.51783842465748,14.710904604602499,2.6592157812837596,7.11135912265922,6.59003576838331
31,3.17.20,45.0,905.0,112,123,76,84,75,73.78,57.77,66.58,8.122939299117219,13.9174864315159,3.37797487937881,7.288689868556629,9.070163016333119
32,3.18.20,153.0,905.0,102,71,68,74,71,67.74,52.26,54.96,8.40811682669958,20.262562241025396,4.47213595499958,8.70139561876632,10.7670131154639
33,3.19.20,105.0,905.0,107,76,68,67,68,66.66,52.72,54.25,8.40811682669958,23.1790391764382,4.94974746830583,9.43776607950359,11.6794997446686
34,3.20.20,192.0,905.0,107,97,66,69,66,76.2,53.65,63.07,7.46300399111702,22.968534377024802,4.8678977568791,9.28901040400506,11.630471062809802
35,3.21.20,118.0,1005.0,100,103,56,72,77,60.97,38.59,52.39,5.68205194324324,21.2115197812078,4.50198368975912,7.66718424753927,11.1739492954435
36,3.22.20,251.0,1005.0,82,83,51,55,69,43.89,38.75,39.4,10.4051841474746,21.7842505363065,3.9438016467073305,9.881440033864349,8.65200224555813
37,3.23.20,145.0,1005.0,101,93,66,61,62,60.6,46.99,48.99,10.4334626494344,16.6984815391785,3.02076149339864,9.650129532809391,6.453127702351559
38,3.24.20,120.0,1005.0,100,88,65,64,59,58.79,45.12,48.51,8.91126894924142,16.4815914626852,2.7124053637210697,8.811518435710001,6.093028803476971
39,3.25.20,93.0,1005.0,78,116,50,59,53,52.88,43.3,52.45,10.986192633093099,14.6720093083005,3.2705394924123103,6.577830732305079,7.482121547872831
40,3.26.20,151.0,1005.0,79,97,52,56,52,54.03,42.55,51.85,12.441290700153,12.333896383544,3.81725406168211,6.17454451761423,8.48107136089371
41,3.27.20,130.0,1005.0,78,71,50,51,52,58.67,37.97,51.17,12.420461229071,13.4589322437873,4.703721930556691,7.16015761997298,9.06720936751136
42,3.28.20,182.0,1203.0,76,104,45,56,64,50.43,37.49,50.12,11.3735281622346,13.938000471475698,4.75093975666168,6.497252166438191,8.94427190999916
43,3.29.20,73.0,1203.0,73,117,48,51,62,41.58,31.71,43.13,10.8751026267736,15.914391510292099,4.580626906564519,4.56500664997169,6.28916301494654
44,3.30.20,129.0,1203.0,80,111,57,56,52,56.37,42.82,52.78,10.9340555800934,15.692923792042599,3.87067731245358,4.52769256906871,5.264435935053791
45,3.31.20,148.0,1203.0,81,69,55,58,51,55.28,43.14,45.44,8.21040280898046,19.070826635765602,3.81491434092188,4.24053568044685,5.2081666639999105
46,4.1.20,216.0,1203.0,86,87,58,60,50,56.52,40.59,47.39,3.7961446607991998,19.1385922754448,3.8335921237696295,3.35676289643119,5.34522483824849
47,4.2.20,224.0,1203.0,87,123,60,58,49,59.81,43.97,59.41,4.72077475481666,20.2832619242003,3.8335921237696295,3.2403703492039297,5.68205194324324
48,4.3.20,234.0,1203.0,89,125,59,60,50,67.53,45.01,62.93,5.65053726901889,22.5035711451697,3.8335921237696295,3.57571171736681,5.82482372510718
49,4.4.20,228.0,1312.0,84,118,50,59,64,55.72,39.1,51.58,5.55492059863531,19.5283676444587,3.64250698597232,2.96407056017806,6.77706215321738
50,4.5.20,191.0,1312.0,78,115,50,50,60,43.86,35.83,43.9,5.28474894659826,19.6936356652165,4.1057451037714,3.92792202424786,6.15861765565711
51,4.6.20,150.0,1312.0,81,124,59,57,50,59.92,48.6,59.27,3.84521966676993,20.2907438432968,3.46152319898955,3.2403703492039297,5.574175147179049
52,4.7.20,92.0,1312.0,88,130,61,65,50,61.4,47.61,62.92,3.91881906409863,21.626290217497502,3.46152319898955,4.1726148019814,5.68205194324324
53,4.8.20,305.0,1312.0,87,132,60,62,49,63.44,44.66,60.47,3.77964473009227,14.179965746482901,3.4121631178560494,4.356850107261311,5.82482372510718
54,4.9.20,181.0,1312.0,85,78,58,55,48,64.0,43.11,53.0,3.7583240945932297,17.1500728861425,3.4121631178560494,4.52769256906871,6.0
55,4.10.20,166.0,1312.0,88,92,56,57,46,72.17,45.06,60.66,3.85449644663773,19.2632143883473,3.70328039909021,4.5493327611231695,6.33442972965996
56,4.11.20,163.0,894.0,95,150,55,65,62,63.29,36.55,60.35,5.1199888392735495,22.934300574840805,4.1726148019814,5.1478150704935,7.13016729917929
57,4.12.20,95.0,894.0,66,90,37,49,55,40.77,30.4,37.63,8.70139561876632,24.879351737075897,4.45413130860392,6.18754509363078,5.8554004376912
58,4.13.20,160.0,894.0,80,76,55,52,51,65.66,39.23,50.9,8.54818276427385,28.223597016883396,4.09703725705714,5.8736700622353695,5.012484413940861
59,4.14.20,117.0,894.0,85,82,58,61,51,67.68,42.23,51.34,8.48107136089371,28.9321867229463,4.13823633931171,5.9701639125619606,4.9856938190329005
60,4.15.20,88.0,894.0,90,74,64,59,51,71.92,42.41,54.86,8.63547500554709,28.4441809263587,4.24053568044685,5.34522483824849,4.9551560448255705
61,4.16.20,94.0,894.0,88,87,62,59,51,74.95,43.14,56.97,8.68393426309264,24.6775635518813,4.26781978465419,5.08323575238113,4.85320218294802
62,4.17.20,183.0,894.0,82,65,55,53,50,76.95,43.94,59.06,8.73007936471861,26.0548871204069,4.61170870099762,5.249149590988179,4.67325215607779
63,4.18.20,149.0,931.0,92,152,57,71,68,77.21,46.78,66.77,9.082951062292471,34.2303123811964,5.0972681759098,7.24938421030169,6.621124203206411
64,4.19.20,153.0,931.0,84,131,56,56,63,57.55,37.06,52.68,8.087689057185269,30.4815517977678,5.264435935053791,6.803360514166089,6.782329983125269
65,4.20.20,105.0,931.0,87,130,67,63,53,79.16,48.35,68.45,4.0355562548073,32.8065215642082,4.77343841331532,6.06512277581537,6.81909084849293
66,4.21.20,140.0,931.0,90,100,67,65,52,77.08,48.3,63.24,3.4121631178560494,31.4049018011975,4.642582409453969,5.56616051305951,6.74933859193413
67,4.22.20,116.0,931.0,91,133,66,67,52,79.21,49.91,67.51,3.50509832753866,31.7939796637216,4.56500664997169,5.97464882410913,6.67618368317024
68,4.23.20,158.0,931.0,86,61,59,53,50,74.56,42.07,57.41,3.46410161513775,34.0878591709298,4.68279525802393,6.685538764484769,6.770471602058881
69,4.24.20,114.0,931.0,89,131,62,65,52,95.09,46.19,76.7,3.50255009141299,33.8797769431011,4.62717130498907,6.78101340930269,6.6975475255606
70,4.25.20,112.0,676.0,91,139,58,68,66,77.91,40.3,68.79,2.8157719063467206,28.6378246380552,4.18969825030054,6.09449400220044,7.348469228349531
71,4.26.20,92.0,676.0,87,143,60,58,63,61.47,38.83,54.85,2.5319388392522995,27.448653362753,4.37525509460387,5.51459103521869,6.43511571657529
72,4.27.20,61.0,676.0,91,127,70,65,54,81.81,47.87,71.31,2.07019667802706,27.2763633939717,3.8821937833432,5.042675027063651,5.8736700622353695
73,4.28.20,81.0,676.0,96,140,72,72,53,83.98,46.91,76.0,3.04431554587515,27.9936217225077,4.32393669836048,5.96268156357284,5.8736700622353695
74,4.29.20,104.0,676.0,91,75,66,62,52,77.65,43.27,60.09,3.0589447293376897,31.892397213129,4.51782185192315,5.99404466354493,5.8736700622353695
